GVKEY,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,csho,ni,opeps,revt,costat,mkvalt,prcc_f
001004,20100531,2009,INDL,C,D,STD,AAR CORP,USD,1501.0420,39.4840,44.6280,1.3000,1352.1510,A,777.8348,19.7000
001004,20110531,2010,INDL,C,D,STD,AAR CORP,USD,1703.7270,39.7810,69.8260,1.8700,1775.7820,A,1049.8206,26.3900
001004,20120531,2011,INDL,C,D,STD,AAR CORP,USD,2195.6530,40.2730,67.7230,1.6800,2074.4980,A,485.2897,12.0500
001004,20130531,2012,INDL,C,D,STD,AAR CORP,USD,2136.9000,39.3820,55.0000,1.7500,2167.1000,A,790.0029,20.0600
001004,20140531,2013,INDL,C,D,STD,AAR CORP,USD,2199.5000,39.5600,72.9000,1.8500,2035.0000,A,961.3080,24.3000
001004,20150531,2014,INDL,C,D,STD,AAR CORP,USD,1515.0000,35.4230,10.2000,-0.6000,1594.3000,A,1046.3954,29.5400
001004,20160531,2015,INDL,C,D,STD,AAR CORP,USD,1442.1000,34.5150,47.7000,1.1000,1662.6000,A,842.5112,24.4100
001004,20170531,2016,INDL,C,D,STD,AAR CORP,USD,1504.1000,34.3540,56.5000,1.4200,1767.6000,A,1200.3288,34.9400
001004,20180531,2017,INDL,C,D,STD,AAR CORP,USD,1524.7000,34.7160,15.6000,1.7300,1748.3000,A,1551.4580,44.6900
001013,20100930,2010,INDL,C,D,STD,ADC TELECOMMUNICATIONS INC,USD,1474.5000,97.2000,62.0000,0.7700,1156.6000,I,1231.5240,12.6700
001045,20101231,2010,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,25088.0000,333.4500,-471.0000,-1.2800,22170.0000,A,2597.5755,7.7900
001045,20111231,2011,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,23848.0000,335.2680,-1979.0000,-3.1700,24022.0000,A,117.3438,0.3500
001045,20131231,2013,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,42278.0000,261.0690,-1834.0000,2.3100,26712.0000,A,6591.9923,25.2500
001045,20141231,2014,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,43771.0000,697.4750,2882.0000,5.3700,42650.0000,A,37405.5843,53.6300
001045,20151231,2015,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,48415.0000,624.6220,7610.0000,9.3800,40990.0000,A,26452.7417,42.3500
001045,20161231,2016,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,51274.0000,507.2940,2676.0000,5.7500,40180.0000,A,23685.5569,46.6900
001045,20171231,2017,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,51396.0000,475.5080,1919.0000,4.9000,42207.0000,A,24740.6812,52.0300
001045,20181231,2018,INDL,C,D,STD,AMERICAN AIRLINES GROUP INC,USD,60580.0000,460.6110,1412.0000,4.4500,44541.0000,A,14790.2192,32.1100
001050,20101231,2010,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,74.7910,14.3190,2.1050,0.1400,140.6020,A,85.3412,5.9600
001050,20111231,2011,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,79.3450,14.5160,8.2720,0.5800,139.1920,A,80.5638,5.5500
001050,20121231,2012,INDL,C,D,STD,CECO ENVIRONMENTAL CORP,USD,94.1040,16.9590,10.8500,0.7400,135.0520,A,168.7421,9.9500
